Location,"Mortality Rate, 2014*"
"Park County, Colorado","155.37 (140.23, 170.99)"
"Phillips County, Colorado","216.19 (196.53, 237.33)"
"Pitkin County, Colorado","76.98 (68.73, 85.42)"
"Prowers County, Colorado","230.48 (212.89, 248.72)"
"Pueblo County, Colorado","231.75 (222.15, 242.53)"
"Rio Blanco County, Colorado","219.15 (196.98, 242.37)"
"Rio Grande County, Colorado","293.59 (271.40, 319.02)"
"Routt County, Colorado","155.76 (141.44, 170.07)"
"Saguache County, Colorado","191.74 (173.19, 211.93)"
"San Juan County, Colorado","188.97 (157.63, 231.07)"
"San Miguel County, Colorado","114.81 (99.72, 132.19)"
"Sedgwick County, Colorado","254.65 (226.16, 282.46)"
"Summit County, Colorado","79.37 (70.99, 88.53)"
"Teller County, Colorado","193.82 (177.64, 210.23)"
"Washington County, Colorado","232.34 (211.19, 255.51)"
"Weld County, Colorado","210.76 (204.08, 216.85)"
"Yuma County, Colorado","231.70 (214.07, 251.16)"
Connecticut,"218.57 (212.54, 224.15)"
"Fairfield County, Connecticut","207.59 (200.44, 215.12)"
"Hartford County, Connecticut","226.98 (219.28, 234.71)"
"Litchfield County, Connecticut","222.47 (212.44, 232.58)"
"Middlesex County, Connecticut","193.92 (184.50, 203.57)"
"New Haven County, Connecticut","221.23 (213.56, 228.67)"
"New London County, Connecticut","220.56 (211.70, 230.11)"
"Tolland County, Connecticut","216.50 (206.55, 226.38)"
"Windham County, Connecticut","253.69 (241.76, 265.65)"
Delaware,"250.57 (243.43, 257.49)"
"Kent County, Delaware","281.53 (269.96, 293.43)"
"New Castle County, Delaware","242.11 (233.35, 251.20)"
"Sussex County, Delaware","250.25 (240.69, 260.22)"
District of Columbia,"295.67 (286.03, 304.94)"
"District of Columbia, District of Columbia","295.67 (286.03, 304.94)"
Florida,"231.20 (226.11, 236.21)"
"Alachua County, Florida","216.38 (207.23, 226.60)"
"Baker County, Florida","297.17 (277.76, 317.80)"
"Bay County, Florida","289.29 (277.00, 301.54)"
"Bradford County, Florida","260.64 (241.84, 277.36)"
"Brevard County, Florida","239.75 (231.36, 247.37)"
"Broward County, Florida","246.72 (240.37, 253.36)"
"Calhoun County, Florida","299.25 (275.08, 322.58)"
"Charlotte County, Florida","191.34 (183.06, 200.22)"
"Citrus County, Florida","293.26 (282.04, 304.40)"
"Clay County, Florida","255.10 (243.06, 267.18)"
"Collier County, Florida","140.70 (134.84, 146.42)"
"Columbia County, Florida","292.97 (276.92, 308.82)"
"DeSoto County, Florida","201.11 (188.33, 214.05)"
"Dixie County, Florida","294.25 (273.06, 317.18)"
"Duval County, Florida","283.64 (274.61, 292.61)"
"Escambia County, Florida","290.55 (279.66, 302.07)"
"Flagler County, Florida","193.06 (182.88, 202.62)"
"Franklin County, Florida","255.28 (230.98, 278.96)"
