State,County,"County diagnosed diabetes prevalence for total population, 30+yrs, 2008 (%)",,,
IL,Massac,10.6,,,
IL,Menard,9.2,,,
IL,Mercer,9.7,,,
IL,Monroe,8.6,,,
IL,Montgomery,10.4,,,
IL,Morgan,9.8,,,
IL,Moultrie,9.3,,,
IL,Ogle,9.0,,,
IL,Peoria,9.4,,,
IL,Perry,10.5,,,
IL,Piatt,8.9,,,
IL,Pike,10.1,,,
IL,Pope,10.6,,,
IL,Pulaski,14.5,,,
IL,Putnam,9.9,,,
IL,Randolph,10.4,,,
IL,Richland,9.7,,,
IL,Rock Island,10.4,,,
IL,St. Clair,11.3,,,
IL,Saline,10.3,,,
IL,Sangamon,9.3,,,
IL,Schuyler,9.6,,,
IL,Scott,9.9,,,
IL,Shelby,10.2,,,
IL,Stark,9.4,,,
IL,Stephenson,10.1,,,
IL,Tazewell,9.3,,,
IL,Union,9.9,,,
IL,Vermilion,11.1,,,
IL,Wabash,10.3,,,
IL,Warren,9.8,,,
IL,Washington,10.0,,,
IL,Wayne,10.3,,,
IL,White,10.4,,,
IL,Whiteside,10.2,,,
IL,Will,8.9,,,
IL,Williamson,9.5,,,
IL,Winnebago,10.1,,,
IL,Woodford,8.7,,,
IN,Indiana*,11.1,,,
IN,Adams,10.4,,,
IN,Allen,9.3,,,
IN,Bartholomew,8.9,,,
IN,Benton,9.5,,,
IN,Blackford,10.3,,,
IN,Boone,8.5,,,
IN,Brown,9.4,,,
IN,Carroll,9.8,,,
IN,Cass,10.0,,,
IN,Clark,10.4,,,
IN,Clay,10.2,,,
IN,Clinton,11.0,,,
IN,Crawford,11.6,,,
IN,Daviess,10.7,,,
IN,Dearborn,9.8,,,
IN,Decatur,10.5,,,
IN,DeKalb,9.6,,,
IN,Delaware,10.6,,,
IN,Dubois,9.2,,,
IN,Elkhart,9.7,,,
IN,Fayette,11.1,,,
IN,Floyd,9.5,,,
IN,Fountain,10.7,,,
IN,Franklin,10.6,,,
IN,Fulton,10.7,,,
IN,Gibson,10.5,,,
IN,Grant,11.0,,,
IN,Greene,10.7,,,
IN,Hamilton,6.5,,,
IN,Hancock,8.8,,,
IN,Harrison,10.1,,,
IN,Hendricks,8.6,,,
IN,Henry,10.4,,,
IN,Howard,9.8,,,
IN,Huntington,9.8,,,
IN,Jackson,10.1,,,
IN,Jasper,9.6,,,
IN,Jay,10.5,,,
IN,Jefferson,9.5,,,
IN,Jennings,11.0,,,
IN,Johnson,8.8,,,
IN,Knox,10.5,,,
IN,Kosciusko,9.8,,,
IN,LaGrange,10.4,,,
IN,Lake,11.7,,,
IN,LaPorte,10.4,,,
IN,Lawrence,11.3,,,
IN,Madison,10.9,,,
IN,Marion,11.0,,,
IN,Marshall,9.5,,,
IN,Martin,11.0,,,
IN,Miami,10.8,,,
IN,Monroe,9.2,,,
IN,Montgomery,9.8,,,
IN,Morgan,10.5,,,
IN,Newton,10.6,,,
IN,Noble,10.0,,,
IN,Ohio,10.4,,,
IN,Orange,10.5,,,
IN,Owen,10.9,,,
IN,Parke,10.5,,,
IN,Perry,10.4,,,
IN,Pike,10.5,,,
IN,Porter,8.9,,,
IN,Posey,10.2,,,
IN,Pulaski,10.1,,,
IN,Putnam,10.1,,,
IN,Randolph,11.0,,,
IN,Ripley,10.0,,,
IN,Rush,10.3,,,
